,0,1
000630.XSHE,0.683098591549,0.673202614379
002007.XSHE,0.659340659341,0.677248677249
000876.XSHE,0.597315436242,0.646616541353
002460.XSHE,0.552486187845,0.597826086957
002602.XSHE,0.616666666667,0.628571428571
002450.XSHE,0.678571428571,0.726804123711
002065.XSHE,0.672413793103,0.69387755102
000783.XSHE,0.64161849711,0.664473684211
000540.XSHE,0.661654135338,0.685714285714
002202.XSHE,0.647058823529,0.684563758389
002008.XSHE,0.705202312139,0.674107142857
002572.XSHE,0.573099415205,0.645569620253
000425.XSHE,0.601265822785,0.590062111801
000961.XSHE,0.645348837209,0.721518987342
000069.XSHE,0.664670658683,0.664705882353
001979.XSHE,0.631578947368,0.511111111111
002601.XSHE,0.681818181818,0.668639053254
002925.XSHE,0.5,0.875
000627.XSHE,0.597402597403,0.621621621622
000338.XSHE,0.6,0.622857142857
000898.XSHE,0.6875,0.72131147541
000100.XSHE,0.662251655629,0.738562091503
002044.XSHE,0.58125,0.637583892617
-1,0.0,0.0
002081.XSHE,0.66091954023,0.663157894737
000568.XSHE,0.653409090909,0.685714285714
000839.XSHE,0.621951219512,0.602564102564
002050.XSHE,0.701219512195,0.699386503067
002475.XSHE,0.676470588235,0.661616161616
002027.XSHE,0.590909090909,0.603351955307
000413.XSHE,0.658385093168,0.675392670157
000002.XSHE,0.66875,0.691729323308
000963.XSHE,0.718954248366,0.688775510204
000402.XSHE,0.670391061453,0.687150837989
002385.XSHE,0.63829787234,0.647058823529
000538.XSHE,0.65,0.671957671958
002797.XSHE,0.512195121951,0.758620689655
002470.XSHE,0.656804733728,0.637362637363
000157.XSHE,0.563291139241,0.56862745098
002500.XSHE,0.58064516129,0.629921259843
002085.XSHE,0.635294117647,0.695652173913
300003.XSHE,0.641176470588,0.686486486486
002411.XSHE,0.670886075949,0.728476821192
000001.XSHE,0.75572519084,0.766666666667
002466.XSHE,0.615384615385,0.579268292683
000651.XSHE,0.693121693122,0.707070707071
000709.XSHE,0.668965517241,0.634408602151
001965.XSHE,0.0,0.0
002714.XSHE,0.71875,0.773195876289
000959.XSHE,0.63768115942,0.659259259259
002555.XSHE,0.58041958042,0.617021276596
002294.XSHE,0.706586826347,0.670157068063
002415.XSHE,0.621052631579,0.639175257732
000938.XSHE,0.644171779141,0.638888888889
002153.XSHE,0.661111111111,0.707482993197
000559.XSHE,0.625,0.645714285714
002608.XSHE,0.691588785047,0.647058823529
002456.XSHE,0.695652173913,0.663414634146
002673.XSHE,0.6328125,0.682692307692
000895.XSHE,0.677215189873,0.628415300546
002230.XSHE,0.687150837989,0.68253968254
002352.XSHE,0.694267515924,0.664948453608
000983.XSHE,0.627906976744,0.689024390244
000776.XSHE,0.614457831325,0.65
000826.XSHE,0.662576687117,0.675824175824
000423.XSHE,0.655555555556,0.676470588235
000623.XSHE,0.615384615385,0.676056338028
000858.XSHE,0.656804733728,0.703703703704
002252.XSHE,0.625954198473,0.651898734177
000625.XSHE,0.647887323944,0.647058823529
002310.XSHE,0.632653061224,0.623711340206
000786.XSHE,0.664596273292,0.683870967742
002493.XSHE,0.585526315789,0.596858638743
002508.XSHE,0.607142857143,0.666666666667
002736.XSHE,0.5,0.625
002142.XSHE,0.634615384615,0.715151515152
002468.XSHE,0.651162790698,0.703703703704
000768.XSHE,0.627218934911,0.618497109827
000728.XSHE,0.630434782609,0.648351648352
002624.XSHE,0.648,0.6953125
002739.XSHE,0.682926829268,0.685714285714
300015.XSHE,0.730769230769,0.765625
000060.XSHE,0.584269662921,0.629139072848
002558.XSHE,0.59842519685,0.651162790698
002594.XSHE,0.594202898551,0.619047619048
002074.XSHE,0.64161849711,0.726666666667
000725.XSHE,0.586206896552,0.670454545455
000415.XSHE,0.716535433071,0.716535433071
002304.XSHE,0.640718562874,0.659685863874
000503.XSHE,0.567901234568,0.573770491803
002024.XSHE,0.690909090909,0.715976331361
002236.XSHE,0.636363636364,0.650717703349
000333.XSHE,0.69387755102,0.758928571429
000063.XSHE,0.744047619048,0.740331491713
000166.XSHE,0.5,0.538461538462
000723.XSHE,0.651006711409,0.661111111111
002241.XSHE,0.64406779661,0.670454545455
000671.XSHE,0.7,0.733727810651
002625.XSHE,0.637931034483,0.618705035971
002146.XSHE,0.677215189873,0.713450292398
000792.XSHE,0.715189873418,0.654545454545
